County,State,Population,Income,State_Abbreviation
kimball county,nebraska,3412,55428.0,ne
knox county,nebraska,8401,58043.0,ne
lancaster county,nebraska,324514,65086.0,ne
lincoln county,nebraska,34133,61309.0,ne
logan county,nebraska,687,60250.0,ne
loup county,nebraska,604,46667.0,ne
mcpherson county,nebraska,379,53750.0,ne
madison county,nebraska,35337,55375.0,ne
merrick county,nebraska,7665,57778.0,ne
morrill county,nebraska,4574,50859.0,ne
nance county,nebraska,3390,55473.0,ne
nemaha county,nebraska,7064,53081.0,ne
nuckolls county,nebraska,4060,61667.0,ne
otoe county,nebraska,15930,70072.0,ne
pawnee county,nebraska,2548,51354.0,ne
perkins county,nebraska,2832,57250.0,ne
phelps county,nebraska,8937,61606.0,ne
pierce county,nebraska,7313,62299.0,ne
platte county,nebraska,34241,64105.0,ne
polk county,nebraska,5174,66486.0,ne
red willow county,nebraska,10623,53387.0,ne
richardson county,nebraska,7759,46085.0,ne
rock county,nebraska,1264,55129.0,ne
saline county,nebraska,14192,58011.0,ne
sarpy county,nebraska,193418,88408.0,ne
saunders county,nebraska,22787,76485.0,ne
scotts bluff county,nebraska,35745,56588.0,ne
seward county,nebraska,17603,73892.0,ne
sheridan county,nebraska,5095,47901.0,ne
sherman county,nebraska,2964,57579.0,ne
sioux county,nebraska,1143,46769.0,ne
stanton county,nebraska,5816,70583.0,ne
thayer county,nebraska,4913,56111.0,ne
thomas county,nebraska,673,51696.0,ne
thurston county,nebraska,6620,56223.0,ne
valley county,nebraska,4066,58015.0,ne
washington county,nebraska,20969,83491.0,ne
wayne county,nebraska,9784,60971.0,ne
webster county,nebraska,3411,56786.0,ne
wheeler county,nebraska,795,51875.0,ne
york county,nebraska,14244,66337.0,ne
churchill county,nevada,25723,61776.0,nv
clark county,nevada,2292476,64210.0,nv
douglas county,nevada,49870,75688.0,nv
elko county,nevada,53915,82462.0,nv
esmeralda county,nevada,743,31667.0,nv
eureka county,nevada,1903,68307.0,nv
humboldt county,nevada,17648,70315.0,nv
lander county,nevada,5798,92543.0,nv
lincoln county,nevada,4525,62164.0,nv
lyon county,nevada,60903,63952.0,nv
mineral county,nevada,4586,43009.0,nv
nye county,nevada,53450,52570.0,nv
pershing county,nevada,6741,62841.0,nv
storey county,nevada,4143,66713.0,nv
washoe county,nevada,493392,74292.0,nv
white pine county,nevada,9182,63590.0,nv
carson city  county,nevada,58993,62217.0,nv
belknap county,new hampshire,64460,75035.0,nh
carroll county,new hampshire,51500,70873.0,nh
cheshire county,new hampshire,77329,69360.0,nh
coos county,new hampshire,31289,52054.0,nh
grafton county,new hampshire,92201,73755.0,nh
hillsborough county,new hampshire,424079,86930.0,nh
merrimack county,new hampshire,155238,82457.0,nh
rockingham county,new hampshire,316947,101683.0,nh
strafford county,new hampshire,132416,76560.0,nh
sullivan county,new hampshire,43533,64587.0,nh
atlantic county,new jersey,274966,66473.0,nj
bergen county,new jersey,953819,109497.0,nj
burlington county,new jersey,464269,95935.0,nj
camden county,new jersey,523771,75485.0,nj
cape may county,new jersey,95661,76237.0,nj
cumberland county,new jersey,153627,58397.0,nj
essex county,new jersey,854917,67826.0,nj
gloucester county,new jersey,304477,93208.0,nj
hudson county,new jersey,702463,79795.0,nj
hunterdon county,new jersey,129924,123373.0,nj
mercer county,new jersey,385898,85687.0,nj
middlesex county,new jersey,860807,96883.0,nj
monmouth county,new jersey,645354,110356.0,nj
morris county,new jersey,510981,123727.0,nj
ocean county,new jersey,648998,76644.0,nj
passaic county,new jersey,518117,78386.0,nj
salem county,new jersey,65046,67898.0,nj
somerset county,new jersey,345647,121695.0,nj
sussex county,new jersey,145543,101645.0,nj
union county,new jersey,572114,87369.0,nj
warren county,new jersey,110731,85163.0,nj
bernalillo county,new mexico,674393,56920.0,nm
catron county,new mexico,3731,37623.0,nm
chaves county,new mexico,64629,47620.0,nm
cibola county,new mexico,27184,47300.0,nm
colfax county,new mexico,12369,39483.0,nm
curry county,new mexico,47999,51199.0,nm
de baca county,new mexico,1680,32750.0,nm
doña ana county,new mexico,221508,47151.0,nm
eddy county,new mexico,60911,67759.0,nm
grant county,new mexico,27889,39429.0,nm
guadalupe county,new mexico,4449,35409.0,nm
harding county,new mexico,639,35900.0,nm
hidalgo county,new mexico,4074,46097.0,nm
lea county,new mexico,73004,62319.0,nm
lincoln county,new mexico,20436,47247.0,nm
los alamos county,new mexico,19330,123677.0,nm
luna county,new mexico,25532,33914.0,nm
mckinley county,new mexico,71780,40262.0,nm
mora county,new mexico,4196,37549.0,nm
otero county,new mexico,68537,46949.0,nm
quay county,new mexico,8656,33067.0,nm
rio arriba county,new mexico,40179,46994.0,nm
roosevelt county,new mexico,19019,47897.0,nm
sandoval county,new mexico,151369,68947.0,nm
san juan county,new mexico,120993,47485.0,nm
san miguel county,new mexico,27150,36492.0,nm
santa fe county,new mexico,155201,64423.0,nm
sierra county,new mexico,11502,35939.0,nm
socorro county,new mexico,16311,38242.0,nm
taos county,new mexico,34623,49481.0,nm
torrance county,new mexico,15307,44819.0,nm
union county,new mexico,4107,37443.0,nm
valencia county,new mexico,77190,53752.0,nm
albany county,new york,313743,73810.0,ny
allegany county,new york,46106,54375.0,ny
bronx county,new york,1424948,43726.0,ny
broome county,new york,197240,53982.0,ny
cattaraugus county,new york,76426,53537.0,ny
cayuga county,new york,75880,59602.0,ny
chautauqua county,new york,126807,50408.0,ny
chemung county,new york,83045,58175.0,ny
chenango county,new york,46537,55690.0,ny
clinton county,new york,79596,62470.0,ny
columbia county,new york,61778,73065.0,ny
cortland county,new york,46311,62163.0,ny
delaware county,new york,44378,52757.0,ny
dutchess county,new york,297112,87112.0,ny
erie county,new york,950683,62578.0,ny
essex county,new york,37268,61563.0,ny
franklin county,new york,47456,55279.0,ny
fulton county,new york,53116,55240.0,ny
genesee county,new york,57853,63734.0,ny
greene county,new york,48499,62810.0,ny
hamilton county,new york,5119,62841.0,ny
herkimer county,new york,59937,60561.0,ny
jefferson county,new york,116295,58271.0,ny
kings county,new york,2641052,67753.0,ny
lewis county,new york,26573,60049.0,ny
livingston county,new york,61578,64467.0,ny
madison county,new york,67658,63312.0,ny
monroe county,new york,755160,66317.0,ny
montgomery county,new york,49558,53533.0,ny
nassau county,new york,1390907,126576.0,ny
new york county,new york,1576876,93956.0,ny
niagara county,new york,211653,60834.0,ny
oneida county,new york,230274,61733.0,ny
onondaga county,new york,473236,66012.0,ny
ontario county,new york,112508,70694.0,ny
orange county,new york,404525,85640.0,ny
orleans county,new york,40191,54882.0,ny
oswego county,new york,117387,61983.0,ny
otsego county,new york,58123,60523.0,ny
putnam county,new york,97936,111617.0,ny
queens county,new york,2331143,75886.0,ny
rensselaer county,new york,160232,76731.0,ny
richmond county,new york,493494,89427.0,ny
rockland county,new york,339227,99707.0,ny
st. lawrence county,new york,108051,54351.0,ny
saratoga county,new york,237359,90800.0,ny
schenectady county,new york,158089,69891.0,ny
schoharie county,new york,29863,64220.0,ny
schuyler county,new york,17752,56437.0,ny
seneca county,new york,33688,59086.0,ny
steuben county,new york,92948,58652.0,ny
suffolk county,new york,1526344,111660.0,ny
sullivan county,new york,79806,63393.0,ny
tioga county,new york,47980,64987.0,ny
tompkins county,new york,105162,64260.0,ny
ulster county,new york,182951,71040.0,ny
warren county,new york,65618,68765.0,ny
washington county,new york,60956,63869.0,ny
wayne county,new york,90923,64152.0,ny
westchester county,new york,997895,105387.0,ny
wyoming county,new york,40491,60013.0,ny
yates county,new york,24613,57635.0,ny
alamance county,north carolina,173877,55078.0,nc
alexander county,north carolina,36644,55041.0,nc
alleghany county,north carolina,11049,38930.0,nc
anson county,north carolina,22060,39862.0,nc
ashe county,north carolina,26711,43938.0,nc
avery county,north carolina,17864,46383.0,nc
beaufort county,north carolina,44468,51894.0,nc
bertie county,north carolina,17505,37571.0,nc
bladen county,north carolina,29525,39259.0,nc
brunswick county,north carolina,144215,64400.0,nc
buncombe county,north carolina,271534,59699.0,nc
burke county,north carolina,87611,48142.0,nc
cabarrus county,north carolina,231278,75765.0,nc
caldwell county,north carolina,80463,48549.0,nc
camden county,north carolina,10835,68560.0,nc
carteret county,north carolina,68541,61805.0,nc
caswell county,north carolina,22714,53279.0,nc
catawba county,north carolina,161723,57840.0,nc
chatham county,north carolina,77889,76791.0,nc
cherokee county,north carolina,29167,43319.0,nc
chowan county,north carolina,13722,46288.0,nc
clay county,north carolina,11309,47155.0,nc
cleveland county,north carolina,100359,45646.0,nc
columbus county,north carolina,50092,40562.0,nc
craven county,north carolina,100674,56325.0,nc
cumberland county,north carolina,335508,50746.0,nc
currituck county,north carolina,29653,79416.0,nc
dare county,north carolina,37826,69500.0,nc
davidson county,north carolina,170637,53083.0,nc
davie county,north carolina,43533,64657.0,nc
duplin county,north carolina,48515,45744.0,nc
durham county,north carolina,326126,67000.0,nc
edgecombe county,north carolina,48359,41974.0,nc
forsyth county,north carolina,385523,56830.0,nc
franklin county,north carolina,71703,62332.0,nc
gaston county,north carolina,230856,56819.0,nc
gates county,north carolina,10366,51599.0,nc
graham county,north carolina,8043,41977.0,nc
granville county,north carolina,61986,60606.0,nc
greene county,north carolina,20417,45766.0,nc
guilford county,north carolina,542410,58646.0,nc
halifax county,north carolina,48272,37832.0,nc
harnett county,north carolina,135966,59676.0,nc
haywood county,north carolina,62476,52063.0,nc
henderson county,north carolina,116829,59928.0,nc
hertford county,north carolina,21278,43523.0,nc
hoke county,north carolina,53114,53456.0,nc
hyde county,north carolina,4508,48577.0,nc
iredell county,north carolina,191968,66824.0,nc
jackson county,north carolina,43410,47989.0,nc
johnston county,north carolina,226504,66026.0,nc
jones county,north carolina,9255,42401.0,nc
lee county,north carolina,64138,57674.0,nc
lenoir county,north carolina,54706,41092.0,nc
lincoln county,north carolina,89670,65399.0,nc
mcdowell county,north carolina,44717,50615.0,nc
macon county,north carolina,37564,48169.0,nc
madison county,north carolina,21502,51396.0,nc
martin county,north carolina,21754,41798.0,nc
mecklenburg county,north carolina,1122276,73124.0,nc
mitchell county,north carolina,14963,48320.0,nc
montgomery county,north carolina,25798,50618.0,nc
moore county,north carolina,102763,67440.0,nc
nash county,north carolina,95176,52837.0,nc
new hanover county,north carolina,229018,62362.0,nc
northampton county,north carolina,17129,39764.0,nc
onslow county,north carolina,206160,54732.0,nc
orange county,north carolina,148884,79205.0,nc
pamlico county,north carolina,12344,52124.0,nc
pasquotank county,north carolina,40821,56510.0,nc
pender county,north carolina,62815,65681.0,nc
perquimans county,north carolina,13130,53138.0,nc
person county,north carolina,39127,55759.0,nc
pitt county,north carolina,172169,50422.0,nc
polk county,north carolina,19656,55058.0,nc
randolph county,north carolina,145172,51598.0,nc
richmond county,north carolina,42724,38926.0,nc
robeson county,north carolina,116328,36736.0,nc
rockingham county,north carolina,91266,46993.0,nc
rowan county,north carolina,148150,53600.0,nc
rutherford county,north carolina,64586,45500.0,nc
sampson county,north carolina,58990,45127.0,nc
scotland county,north carolina,34227,39866.0,nc
stanly county,north carolina,63425,56462.0,nc
stokes county,north carolina,44553,52637.0,nc
surry county,north carolina,71152,50881.0,nc
swain county,north carolina,14136,48608.0,nc
transylvania county,north carolina,33165,57830.0,nc
tyrrell county,north carolina,3254,40938.0,nc
union county,north carolina,243648,88465.0,nc
vance county,north carolina,42185,45243.0,nc
wake county,north carolina,1150204,88471.0,nc
warren county,north carolina,18762,39588.0,nc
washington county,north carolina,10892,32937.0,nc
watauga county,north carolina,54234,48786.0,nc
wayne county,north carolina,116835,49488.0,nc
wilkes county,north carolina,65806,46079.0,nc
wilson county,north carolina,78369,47348.0,nc
yadkin county,north carolina,37192,51348.0,nc
yancey county,north carolina,18757,45324.0,nc
adams county,north dakota,2167,52896.0,nd
barnes county,north dakota,10806,64016.0,nd
benson county,north dakota,5809,54375.0,nd
billings county,north dakota,955,71375.0,nd
bottineau county,north dakota,6390,68095.0,nd
bowman county,north dakota,2903,76447.0,nd
burke county,north dakota,2158,97802.0,nd
burleigh county,north dakota,98933,76043.0,nd
cass county,north dakota,186562,68718.0,nd
cavalier county,north dakota,3662,60284.0,nd
dickey county,north dakota,4897,58267.0,nd
divide county,north dakota,2188,83438.0,nd
dunn county,north dakota,4035,84459.0,nd
eddy county,north dakota,2337,44958.0,nd
emmons county,north dakota,3271,56713.0,nd
foster county,north dakota,3364,71250.0,nd
golden valley county,north dakota,1770,83295.0,nd
grand forks county,north dakota,72705,57213.0,nd
grant county,north dakota,2323,57200.0,nd
griggs county,north dakota,2281,64196.0,nd
hettinger county,north dakota,2430,62865.0,nd
kidder county,north dakota,2369,52419.0,nd
lamoure county,north dakota,4066,63594.0,nd
logan county,north dakota,1883,53929.0,nd
mchenry county,north dakota,5249,71612.0,nd
mcintosh county,north dakota,2513,58056.0,nd
mckenzie county,north dakota,13819,78442.0,nd
mclean county,north dakota,9796,72324.0,nd
mercer county,north dakota,8323,78547.0,nd
morton county,north dakota,33611,75177.0,nd
mountrail county,north dakota,9576,76520.0,nd
nelson county,north dakota,3054,56724.0,nd
oliver county,north dakota,1873,64148.0,nd
pembina county,north dakota,6767,61795.0,nd
pierce county,north dakota,3953,59803.0,nd
ramsey county,north dakota,11572,55534.0,nd
ransom county,north dakota,5675,67480.0,nd
renville county,north dakota,2266,71218.0,nd
richland county,north dakota,16560,62481.0,nd
rolette county,north dakota,12048,49434.0,nd
sargent county,north dakota,3829,67467.0,nd
sheridan county,north dakota,1268,61125.0,nd
sioux county,north dakota,3738,39755.0,nd
slope county,north dakota,690,67614.0,nd
stark county,north dakota,33046,70364.0,nd
steele county,north dakota,1810,81354.0,nd
stutsman county,north dakota,21576,54652.0,nd
towner county,north dakota,2140,51912.0,nd
traill county,north dakota,8003,73113.0,nd
walsh county,north dakota,10469,59368.0,nd
ward county,north dakota,69071,72227.0,nd
wells county,north dakota,3905,58932.0,nd
williams county,north dakota,38484,80142.0,nd
adams county,ohio,27542,44467.0,oh
allen county,ohio,101670,55114.0,oh
ashland county,ohio,52316,58168.0,oh
ashtabula county,ohio,97337,49680.0,oh
athens county,ohio,62056,47061.0,oh
auglaize county,ohio,46141,69315.0,oh
belmont county,ohio,65849,54191.0,oh
brown county,ohio,43662,59766.0,oh
butler county,ohio,390234,72281.0,oh
carroll county,ohio,26691,55954.0,oh
champaign county,ohio,38699,62865.0,oh
clark county,ohio,135633,54869.0,oh
clermont county,ohio,209642,73013.0,oh
clinton county,ohio,42004,57409.0,oh
columbiana county,ohio,101310,51664.0,oh
coshocton county,ohio,36618,49297.0,oh
crawford county,ohio,41754,48449.0,oh
cuyahoga county,ohio,1249387,55109.0,oh
darke county,ohio,51597,57440.0,oh
defiance county,ohio,38144,65779.0,oh
delaware county,ohio,220740,116284.0,oh
erie county,ohio,74852,60149.0,oh
fairfield county,ohio,161064,77241.0,oh
fayette county,ohio,28906,52964.0,oh
franklin county,ohio,1321414,65999.0,oh
fulton county,ohio,42450,65418.0,oh
gallia county,ohio,29158,50773.0,oh
geauga county,ohio,95565,90285.0,oh
greene county,ohio,168412,75901.0,oh
guernsey county,ohio,38287,48434.0,oh
hamilton county,ohio,826139,63080.0,oh
hancock county,ohio,74656,60828.0,oh
hardin county,ohio,30621,52112.0,oh
harrison county,ohio,14477,51993.0,oh
henry county,ohio,27538,64513.0,oh
highland county,ohio,43354,52376.0,oh
hocking county,ohio,28097,56755.0,oh
holmes county,ohio,44271,69454.0,oh
huron county,ohio,58367,59049.0,oh
jackson county,ohio,32511,50983.0,oh
jefferson county,ohio,64789,49211.0,oh
knox county,ohio,62897,64439.0,oh
lake county,ohio,232023,70168.0,oh
lawrence county,ohio,57445,48947.0,oh
licking county,ohio,180401,72771.0,oh
logan county,ohio,46035,64196.0,oh
lorain county,ohio,315595,62390.0,oh
lucas county,ohio,429191,53176.0,oh
madison county,ohio,44386,72811.0,oh
mahoning county,ohio,226762,50750.0,oh
marion county,ohio,65291,51144.0,oh
medina county,ohio,183092,82894.0,oh
meigs county,ohio,22049,44113.0,oh
mercer county,ohio,42309,68692.0,oh
miami county,ohio,109264,66284.0,oh
monroe county,ohio,13329,50503.0,oh
montgomery county,ohio,535840,56543.0,oh
morgan county,ohio,13682,44848.0,oh
morrow county,ohio,35151,63411.0,oh
muskingum county,ohio,86408,52224.0,oh
noble county,ohio,14176,46144.0,oh
ottawa county,ohio,40104,64463.0,oh
paulding county,ohio,18871,59987.0,oh
perry county,ohio,35460,58616.0,oh
pickaway county,ohio,59333,63629.0,oh
pike county,ohio,27089,44961.0,oh
portage county,ohio,162382,64163.0,oh
preble county,ohio,40867,60527.0,oh
putnam county,ohio,34318,73122.0,oh
richland county,ohio,125195,52605.0,oh
ross county,ohio,76891,54004.0,oh
sandusky county,ohio,58715,56414.0,oh
scioto county,ohio,73346,43266.0,oh
seneca county,ohio,54906,56043.0,oh
shelby county,ohio,47977,66536.0,oh
stark county,ohio,373834,58170.0,oh
summit county,ohio,537633,63111.0,oh
trumbull county,ohio,201335,50258.0,oh
tuscarawas county,ohio,92500,57545.0,oh
union county,ohio,64971,96634.0,oh
van wert county,ohio,28732,59210.0,oh
vinton county,ohio,12696,46653.0,oh
warren county,ohio,246553,95709.0,oh
washington county,ohio,59423,54167.0,oh
wayne county,ohio,116710,64594.0,oh
williams county,ohio,36716,55030.0,oh
wood county,ohio,132472,66337.0,oh
wyandot county,ohio,21708,61626.0,oh
adair county,oklahoma,19414,37940.0,ok
alfalfa county,oklahoma,5710,66552.0,ok
atoka county,oklahoma,14324,45148.0,ok
beaver county,oklahoma,4980,60152.0,ok
beckham county,oklahoma,22046,50365.0,ok
blaine county,oklahoma,8562,52538.0,ok
bryan county,oklahoma,47105,49225.0,ok
caddo county,oklahoma,26368,47566.0,ok
canadian county,oklahoma,161737,76973.0,ok
carter county,oklahoma,48291,52906.0,ok
cherokee county,oklahoma,47627,47421.0,ok
choctaw county,oklahoma,14307,38854.0,ok
cimarron county,oklahoma,2248,50350.0,ok
cleveland county,oklahoma,297597,67068.0,ok
coal county,oklahoma,5276,43697.0,ok
comanche county,oklahoma,122063,54483.0,ok
cotton county,oklahoma,5480,54787.0,ok
craig county,oklahoma,14115,45094.0,ok
creek county,oklahoma,72029,56384.0,ok
custer county,oklahoma,28163,55074.0,ok
delaware county,oklahoma,41000,46588.0,ok
dewey county,oklahoma,4417,53672.0,ok
ellis county,oklahoma,3762,52250.0,ok
garfield county,oklahoma,61926,60732.0,ok
garvin county,oklahoma,25804,50441.0,ok
grady county,oklahoma,55508,68925.0,ok
grant county,oklahoma,4131,54150.0,ok
greer county,oklahoma,5487,49203.0,ok
harmon county,oklahoma,2418,55369.0,ok
harper county,oklahoma,3180,51481.0,ok
haskell county,oklahoma,11602,43622.0,ok
hughes county,oklahoma,13405,42425.0,ok
jackson county,oklahoma,24777,55551.0,ok
jefferson county,oklahoma,5438,43438.0,ok
johnston county,oklahoma,10301,46754.0,ok
kay county,oklahoma,43732,50391.0,ok
kingfisher county,oklahoma,15204,61657.0,ok
kiowa county,oklahoma,8410,36985.0,ok
latimer county,oklahoma,9427,39939.0,ok
le flore county,oklahoma,48476,43049.0,ok
lincoln county,oklahoma,33829,54578.0,ok
logan county,oklahoma,50885,74744.0,ok
love county,oklahoma,10216,55568.0,ok
mcclain county,oklahoma,43516,73914.0,ok
mccurtain county,oklahoma,30884,43435.0,ok
mcintosh county,oklahoma,19245,40792.0,ok
major county,oklahoma,7668,60025.0,ok
marshall county,oklahoma,15594,51345.0,ok
mayes county,oklahoma,39159,52956.0,ok
murray county,oklahoma,13718,54160.0,ok
muskogee county,oklahoma,66146,44166.0,ok
noble county,oklahoma,10933,62910.0,ok
nowata county,oklahoma,9303,46786.0,ok
okfuskee county,oklahoma,11197,43000.0,ok
oklahoma county,oklahoma,798575,58239.0,ok
okmulgee county,oklahoma,36843,48689.0,ok
osage county,oklahoma,45772,54036.0,ok
ottawa county,oklahoma,30340,42311.0,ok
pawnee county,oklahoma,15741,53084.0,ok
payne county,oklahoma,81989,43686.0,ok
pittsburg county,oklahoma,43633,49669.0,ok
pontotoc county,oklahoma,38163,55862.0,ok
pottawatomie county,oklahoma,73019,54896.0,ok
pushmataha county,oklahoma,10815,40721.0,ok
roger mills county,oklahoma,3386,58385.0,ok
rogers county,oklahoma,96695,69322.0,ok
seminole county,oklahoma,23567,40190.0,ok
sequoyah county,oklahoma,39508,43496.0,ok
stephens county,oklahoma,43129,53470.0,ok
texas county,oklahoma,20865,50781.0,ok
tillman county,oklahoma,7076,41138.0,ok
tulsa county,oklahoma,672858,60382.0,ok
wagoner county,oklahoma,84050,68906.0,ok
washington county,oklahoma,52772,55216.0,ok
washita county,oklahoma,10915,55750.0,ok
woods county,oklahoma,8583,55933.0,ok
woodward county,oklahoma,20205,55700.0,ok
baker county,oregon,16847,46922.0,or
benton county,oregon,96017,68732.0,or
clackamas county,oregon,422537,88517.0,or
clatsop county,oregon,41810,61846.0,or
columbia county,oregon,53074,73909.0,or
coos county,oregon,64999,52548.0,or
crook county,oregon,25739,64820.0,or
curry county,oregon,23683,57553.0,or
deschutes county,oregon,204801,74082.0,or
douglas county,oregon,111978,52479.0,or
gilliam county,oregon,2005,51705.0,or
grant county,oregon,7272,51100.0,or
harney county,oregon,7575,42095.0,or
hood river county,oregon,24057,77815.0,or
jackson county,oregon,223734,61020.0,or
jefferson county,oregon,25068,59748.0,or
josephine county,oregon,88346,51733.0,or
klamath county,oregon,70164,50790.0,or
lake county,oregon,8276,50685.0,or
lane county,oregon,383189,59016.0,or
lincoln county,oregon,50862,54961.0,or
linn county,oregon,129839,63313.0,or
malheur county,oregon,31693,47906.0,or
marion county,oregon,347119,64880.0,or
morrow county,oregon,12303,61659.0,or
multnomah county,oregon,803377,76290.0,or
polk county,oregon,89164,70238.0,or
sherman county,oregon,1907,53606.0,or
tillamook county,oregon,27748,55730.0,or
umatilla county,oregon,79988,63123.0,or
union county,oregon,26212,55227.0,or
wallowa county,oregon,7545,57891.0,or
wasco county,oregon,26726,57853.0,or
washington county,oregon,600811,92025.0,or
wheeler county,oregon,1451,46648.0,or
yamhill county,oregon,108239,73409.0,or
adams county,pennsylvania,104127,72492.0,pa
allegheny county,pennsylvania,1238090,66659.0,pa
armstrong county,pennsylvania,65093,56838.0,pa
beaver county,pennsylvania,166624,62152.0,pa
bedford county,pennsylvania,47461,54596.0,pa
berks county,pennsylvania,429342,69272.0,pa
blair county,pennsylvania,121767,54368.0,pa
bradford county,pennsylvania,59892,54383.0,pa
bucks county,pennsylvania,646098,99302.0,pa
butler county,pennsylvania,194273,77065.0,pa
cambria county,pennsylvania,132167,51018.0,pa
cameron county,pennsylvania,4459,43615.0,pa
carbon county,pennsylvania,65412,59289.0,pa
centre county,pennsylvania,157527,64995.0,pa
chester county,pennsylvania,538649,109969.0,pa
clarion county,pennsylvania,37156,53096.0,pa
clearfield county,pennsylvania,80082,52826.0,pa
clinton county,pennsylvania,37465,53792.0,pa
columbia county,pennsylvania,64872,55572.0,pa
crawford county,pennsylvania,83351,55042.0,pa
cumberland county,pennsylvania,262919,77001.0,pa
dauphin county,pennsylvania,287400,66480.0,pa
delaware county,pennsylvania,573849,80398.0,pa
elk county,pennsylvania,30783,57551.0,pa
erie county,pennsylvania,269011,55949.0,pa
fayette county,pennsylvania,126931,51321.0,pa
forest county,pennsylvania,7032,43958.0,pa
franklin county,pennsylvania,156289,66329.0,pa
fulton county,pennsylvania,14523,58343.0,pa
greene county,pennsylvania,35369,57497.0,pa
huntingdon county,pennsylvania,43889,57055.0,pa
indiana county,pennsylvania,82886,52546.0,pa
jefferson county,pennsylvania,44114,52815.0,pa
juniata county,pennsylvania,23297,56382.0,pa
lackawanna county,pennsylvania,215663,58366.0,pa
lancaster county,pennsylvania,553652,73688.0,pa
lawrence county,pennsylvania,85497,53106.0,pa
lebanon county,pennsylvania,143493,66164.0,pa
lehigh county,pennsylvania,375539,69440.0,pa
luzerne county,pennsylvania,326053,56534.0,pa
lycoming county,pennsylvania,113605,58177.0,pa
mckean county,pennsylvania,39941,52350.0,pa
mercer county,pennsylvania,109972,52810.0,pa
mifflin county,pennsylvania,46136,54738.0,pa
monroe county,pennsylvania,169273,72679.0,pa
montgomery county,pennsylvania,860578,99361.0,pa
montour county,pennsylvania,18087,64858.0,pa
northampton county,pennsylvania,313628,77103.0,pa
northumberland county,pennsylvania,91266,51005.0,pa
perry county,pennsylvania,45986,72922.0,pa
philadelphia county,pennsylvania,1576251,52649.0,pa
pike county,pennsylvania,59952,71360.0,pa
potter county,pennsylvania,16259,50944.0,pa
schuylkill county,pennsylvania,143264,57785.0,pa
snyder county,pennsylvania,39621,62951.0,pa
somerset county,pennsylvania,73627,54332.0,pa
sullivan county,pennsylvania,5868,54074.0,pa
susquehanna county,pennsylvania,38389,59391.0,pa
tioga county,pennsylvania,40929,54671.0,pa
union county,pennsylvania,42568,61807.0,pa
venango county,pennsylvania,49938,55899.0,pa
warren county,pennsylvania,38134,55796.0,pa
washington county,pennsylvania,209470,68787.0,pa
wayne county,pennsylvania,51431,56744.0,pa
westmoreland county,pennsylvania,353057,64708.0,pa
wyoming county,pennsylvania,26034,62795.0,pa
york county,pennsylvania,458696,72543.0,pa
bristol county,rhode island,50818,95102.0,ri
kent county,rhode island,170715,79880.0,ri
newport county,rhode island,85264,90435.0,ri
providence county,rhode island,658221,65797.0,ri
washington county,rhode island,130592,92001.0,ri
abbeville county,south carolina,24299,45710.0,sc
aiken county,south carolina,170776,57572.0,sc
allendale county,south carolina,7858,31800.0,sc
anderson county,south carolina,206908,56796.0,sc
bamberg county,south carolina,13189,44408.0,sc
barnwell county,south carolina,20580,38237.0,sc
beaufort county,south carolina,191748,74199.0,sc
berkeley county,south carolina,236701,70786.0,sc
calhoun county,south carolina,14165,52491.0,sc
charleston county,south carolina,413024,70807.0,sc
cherokee county,south carolina,56052,41330.0,sc
chester county,south carolina,32209,46441.0,sc
chesterfield county,south carolina,43268,45046.0,sc
clarendon county,south carolina,31024,45542.0,sc
colleton county,south carolina,38462,41419.0,sc
darlington county,south carolina,62755,40704.0,sc
dillon county,south carolina,28087,39780.0,sc
dorchester county,south carolina,163327,68046.0,sc
edgefield county,south carolina,26153,55183.0,sc
fairfield county,south carolina,20690,41755.0,sc
florence county,south carolina,136504,51902.0,sc
georgetown county,south carolina,63921,55719.0,sc
greenville county,south carolina,533834,65513.0,sc
greenwood county,south carolina,69241,44513.0,sc
hampton county,south carolina,18180,38298.0,sc
horry county,south carolina,365579,54688.0,sc
jasper county,south carolina,30324,47811.0,sc
kershaw county,south carolina,66130,56449.0,sc
lancaster county,south carolina,100336,67407.0,sc
laurens county,south carolina,67803,46754.0,sc
lee county,south carolina,16280,36195.0,sc
lexington county,south carolina,300137,65623.0,sc
mccormick county,south carolina,9760,53193.0,sc
marion county,south carolina,28784,34465.0,sc
marlboro county,south carolina,26382,32136.0,sc
newberry county,south carolina,37996,50950.0,sc
oconee county,south carolina,79203,52842.0,sc
orangeburg county,south carolina,82962,38052.0,sc
pickens county,south carolina,132229,53188.0,sc
richland county,south carolina,418307,56137.0,sc
saluda county,south carolina,18821,46451.0,sc
spartanburg county,south carolina,335864,57627.0,sc
sumter county,south carolina,104758,49040.0,sc
union county,south carolina,27016,40048.0,sc
williamsburg county,south carolina,30484,40124.0,sc
york county,south carolina,288595,72234.0,sc
aurora county,south dakota,2748,64960.0,sd
beadle county,south dakota,19121,56692.0,sd
bennett county,south dakota,3406,40664.0,sd
bon homme county,south dakota,7014,53575.0,sd
brookings county,south dakota,34639,59178.0,sd
brown county,south dakota,38101,63805.0,sd
brule county,south dakota,5242,60857.0,sd
buffalo county,south dakota,1923,38523.0,sd
butte county,south dakota,10456,48941.0,sd
campbell county,south dakota,1380,58026.0,sd
charles mix county,south dakota,9163,52981.0,sd
