year,state,state_po,county,democrat,republican,other,winner,totalvotes
2020,north carolina,nc,scotland,7186,7473,116,donald j trump,14775
2020,north carolina,nc,stanly,8129,25458,352,donald j trump,33939
2020,north carolina,nc,stokes,5286,20142,273,donald j trump,25701
2020,north carolina,nc,surry,8721,27538,379,donald j trump,36638
2020,north carolina,nc,swain,2780,4161,127,donald j trump,7068
2020,north carolina,nc,transylvania,8444,11636,324,donald j trump,20404
2020,north carolina,nc,tyrrell,758,1044,15,donald j trump,1817
2020,north carolina,nc,union,48725,80382,1904,donald j trump,131011
2020,north carolina,nc,vance,12431,8391,177,joseph r biden jr,20999
2020,north carolina,nc,wake,393336,226197,12297,joseph r biden jr,631830
2020,north carolina,nc,warren,6400,3752,141,joseph r biden jr,10293
2020,north carolina,nc,washington,3396,2781,28,joseph r biden jr,6205
2020,north carolina,nc,watauga,17122,14451,647,joseph r biden jr,32220
2020,north carolina,nc,wayne,24215,30709,613,donald j trump,55537
2020,north carolina,nc,wilkes,7511,27592,363,donald j trump,35466
2020,north carolina,nc,wilson,20754,19581,400,joseph r biden jr,40735
2020,north carolina,nc,yadkin,3763,15933,227,donald j trump,19923
2020,north carolina,nc,yancey,3688,7516,148,donald j trump,11352
2020,north dakota,nd,adams,258,981,30,donald j trump,1269
2020,north dakota,nd,barnes,1820,3568,177,donald j trump,5565
2020,north dakota,nd,benson,822,1094,45,donald j trump,1961
2020,north dakota,nd,billings,72,541,22,donald j trump,635
2020,north dakota,nd,bottineau,821,2575,75,donald j trump,3471
2020,north dakota,nd,bowman,228,1395,34,donald j trump,1657
2020,north dakota,nd,burke,137,994,24,donald j trump,1155
2020,north dakota,nd,burleigh,14348,34744,1661,donald j trump,50753
2020,north dakota,nd,cass,40311,42619,3123,donald j trump,86053
2020,north dakota,nd,cavalier,474,1499,47,donald j trump,2020
2020,north dakota,nd,dickey,608,1742,74,donald j trump,2424
2020,north dakota,nd,divide,265,904,33,donald j trump,1202
2020,north dakota,nd,dunn,342,1951,45,donald j trump,2338
2020,north dakota,nd,eddy,383,854,24,donald j trump,1261
2020,north dakota,nd,emmons,237,1738,34,donald j trump,2009
2020,north dakota,nd,foster,373,1362,43,donald j trump,1778
2020,north dakota,nd,golden valley,137,871,18,donald j trump,1026
2020,north dakota,nd,grand forks,12880,16987,1103,donald j trump,30970
2020,north dakota,nd,grant,207,1145,29,donald j trump,1381
2020,north dakota,nd,griggs,308,907,35,donald j trump,1250
2020,north dakota,nd,hettinger,196,1091,25,donald j trump,1312
2020,north dakota,nd,kidder,221,1215,24,donald j trump,1460
2020,north dakota,nd,lamoure,527,1645,47,donald j trump,2219
2020,north dakota,nd,logan,128,930,18,donald j trump,1076
2020,north dakota,nd,mchenry,564,2364,75,donald j trump,3003
2020,north dakota,nd,mcintosh,261,1153,41,donald j trump,1455
2020,north dakota,nd,mckenzie,814,4482,123,donald j trump,5419
2020,north dakota,nd,mclean,1230,4198,108,donald j trump,5536
2020,north dakota,nd,mercer,704,3856,115,donald j trump,4675
2020,north dakota,nd,morton,3872,12243,504,donald j trump,16619
2020,north dakota,nd,mountrail,1256,2824,85,donald j trump,4165
2020,north dakota,nd,nelson,586,1141,50,donald j trump,1777
2020,north dakota,nd,oliver,129,918,19,donald j trump,1066
2020,north dakota,nd,pembina,786,2460,85,donald j trump,3331
2020,north dakota,nd,pierce,497,1585,46,donald j trump,2128
2020,north dakota,nd,ramsey,1639,3577,156,donald j trump,5372
2020,north dakota,nd,ransom,945,1418,91,donald j trump,2454
2020,north dakota,nd,renville,220,1065,34,donald j trump,1319
