County,State_Abrev,Fully_Vaccinated,Boosters,FIPS_Code
broomfield county,co,77.6,48.3,8014
adams county,co,64.1,34.1,8001
crowley county,co,20.7,37.8,8025
custer county,co,46.1,55.9,8027
prowers county,co,40.6,34.8,8099
phillips county,co,49.2,30.4,8095
mineral county,co,80.2,58.8,8079
mesa county,co,47.4,44.9,8077
huerfano county,co,51.8,46.0,8055
san juan county,co,90,45.6,8111
fremont county,co,41.5,38.7,8043
kiowa county,co,36.3,49.1,8061
douglas county,co,70.2,44.8,8035
garfield county,co,61.4,38.8,8045
routt county,co,72.9,49.3,8107
alamosa county,co,53.7,40.2,8003
la plata county,co,68.2,48.2,8067
boulder county,co,75.6,50.3,8013
lincoln county,co,34.5,41.9,8073
montezuma county,co,59.3,43.1,8083
rio grande county,co,60,43.8,8105
larimer county,co,65.2,45.8,8069
arapahoe county,co,64.3,41.1,8005
clear creek county,co,47.4,45.9,8019
logan county,co,36.5,37.4,8075
dolores county,co,40,41.7,8033
sedgwick county,co,49.7,49.4,8115
new haven county,ct,73.2,37.3,9009
new london county,ct,75.2,39.6,9011
middlesex county,ct,79.7,44.5,9007
tolland county,ct,64.1,45.7,9013
fairfield county,ct,76.9,34.5,9001
litchfield county,ct,72.6,41.5,9005
hartford county,ct,71.7,39.9,9003
windham county,ct,60.5,37.6,9015
sussex county,de,63.9,41.4,10005
kent county,de,51.5,32.6,10001
new castle county,de,64.3,32.1,10003
bay county,fl,49.1,26.4,12005
santa rosa county,fl,48.1,29.0,12113
levy county,fl,45.1,29.6,12075
lake county,fl,63.1,35.2,12069
jackson county,fl,41.3,28.3,12063
baker county,fl,34.2,20.4,12003
desoto county,fl,43.5,25.3,12027
franklin county,fl,46.6,35.6,12037
leon county,fl,54.2,36.6,12073
orange county,fl,65.6,27.3,12095
okeechobee county,fl,44.2,23.9,12093
martin county,fl,61.3,36.7,12085
union county,fl,34.2,19.8,12125
indian river county,fl,64.4,37.9,12061
seminole county,fl,59.2,36.5,12117
charlotte county,fl,63.1,39.4,12015
dixie county,fl,33.2,27.1,12029
clay county,fl,48.1,29.5,12019
sarasota county,fl,67.4,41.5,12115
glades county,fl,32.2,31.2,12043
collier county,fl,67.2,34.3,12021
gulf county,fl,49.5,31.9,12045
suwannee county,fl,36.4,29.4,12121
hernando county,fl,52.5,35.0,12053
sumter county,fl,77.9,49.0,12119
citrus county,fl,54.5,39.8,12017
hamilton county,fl,34.1,27.0,12047
putnam county,fl,39.8,29.1,12107
calhoun county,fl,33.3,26.4,12013
highlands county,fl,49.9,33.3,12055
gilchrist county,fl,35.2,28.6,12041
wakulla county,fl,43.2,31.7,12129
walton county,fl,46.2,32.2,12131
holmes county,fl,28,24.1,12059
hendry county,fl,45.9,18.2,12051
monroe county,fl,74.7,30.7,12087
polk county,fl,54,29.5,12105
manatee county,fl,59,35.9,12081
flagler county,fl,60.6,40.0,12035
nassau county,fl,55.1,35.5,12089
miami-dade county,fl,80.5,24.9,12086
madison county,fl,43.9,28.8,12079
washington county,fl,31.2,26.8,12133
pasco county,fl,55.8,32.6,12101
hillsborough county,fl,58.8,28.7,12057
alachua county,fl,63.5,36.0,12001
bradford county,fl,40.6,25.5,12007
taylor county,fl,38.3,26.0,12123
okaloosa county,fl,56.3,24.1,12091
columbia county,fl,40.2,25.7,12023
st. johns county,fl,66.7,38.8,12109
marion county,fl,54.4,38.2,12083
hardee county,fl,40.1,20.0,12049
escambia county,fl,52,27.8,12033
osceola county,fl,68.4,23.1,12097
palm beach county,fl,63.4,34.2,12099
jefferson county,fl,57.8,31.5,12065
liberty county,fl,33.3,26.4,12077
duval county,fl,58.1,29.0,12031
pinellas county,fl,62.1,37.9,12103
volusia county,fl,57.1,35.9,12127
st. lucie county,fl,55.5,33.1,12111
lee county,fl,59.2,35.5,12071
brevard county,fl,61.3,34.2,12009
lafayette county,fl,37.9,27.0,12067
broward county,fl,67.8,30.2,12011
gadsden county,fl,55.3,32.5,12039
heard county,ga,15.4,42.1,13149
forsyth county,ga,26.1,56.4,13117
telfair county,ga,19.9,33.5,13271
spalding county,ga,18.8,59.1,13255
jasper county,ga,18.3,45.1,13159
quitman county,ga,13.6,54.8,13239
mitchell county,ga,24.7,48.3,13205
pickens county,ga,17.6,81.7,13227
elbert county,ga,21.7,52.8,13105
baldwin county,ga,17.6,68.0,13009
pulaski county,ga,17.9,59.8,13235
talbot county,ga,32.1,39.6,13263
gwinnett county,ga,34.1,42.0,13135
henry county,ga,23.8,45.5,13151
candler county,ga,22,45.9,13043
atkinson county,ga,20.2,35.9,13003
emanuel county,ga,31.2,28.9,13107
lincoln county,ga,22.6,46.0,13181
dade county,ga,24.5,39.9,13083
sumter county,ga,41.4,36.2,13261
coweta county,ga,30.3,38.6,13077
miller county,ga,25,61.1,13201
jones county,ga,26.8,39.2,13169
gordon county,ga,18.3,52.0,13129
gilmer county,ga,16.2,83.0,13123
oconee county,ga,31,62.0,13219
ben hill county,ga,15.9,51.2,13017
dougherty county,ga,28.4,47.3,13095
webster county,ga,21.6,61.6,13307
greene county,ga,41.9,41.7,13133
treutlen county,ga,18.3,40.8,13283
brooks county,ga,33.1,33.5,13027
burke county,ga,44.9,30.6,13033
jackson county,ga,26.9,42.8,13157
laurens county,ga,27.1,38.7,13175
wilkes county,ga,20.4,54.7,13317
crawford county,ga,20.1,43.0,13079
evans county,ga,23.4,46.7,13109
bulloch county,ga,27.9,33.1,13031
paulding county,ga,22.3,36.8,13223
franklin county,ga,17,54.2,13119
glynn county,ga,46.8,33.7,13127
tattnall county,ga,16.4,50.8,13267
washington county,ga,17.6,59.2,13303
monroe county,ga,14.9,71.3,13207
baker county,ga,36,35.0,13007
dodge county,ga,14.1,46.2,13091
seminole county,ga,20.1,57.9,13253
wilkinson county,ga,24.8,56.2,13319
charlton county,ga,14.2,37.6,13049
white county,ga,14,82.6,13311
worth county,ga,19.8,50.1,13321
walker county,ga,26.4,36.6,13295
cherokee county,ga,32.6,42.4,13057
bacon county,ga,14.7,44.0,13005
johnson county,ga,18.4,49.5,13167
putnam county,ga,16.2,66.6,13237
colquitt county,ga,23,35.3,13071
cook county,ga,36.4,25.1,13075
harris county,ga,23,44.6,13145
lanier county,ga,12.8,41.9,13173
montgomery county,ga,24.2,35.5,13209
ware county,ga,25.4,35.5,13299
whitfield county,ga,25,41.2,13313
barrow county,ga,22,44.5,13013
hart county,ga,28.6,38.4,13147
grady county,ga,21.8,48.5,13131
bleckley county,ga,14,57.3,13023
walton county,ga,25.3,41.0,13297
fayette county,ga,38.1,52.8,13113
taylor county,ga,30.9,38.9,13269
upson county,ga,38.3,38.2,13293
clarke county,ga,26.3,60.9,13059
appling county,ga,16.3,49.6,13001
douglas county,ga,31.3,35.2,13097
columbia county,ga,28.6,40.3,13073
crisp county,ga,21.8,47.0,13081
towns county,ga,17.2,95.0,13281
haralson county,ga,16.9,50.2,13143
schley county,ga,21.2,42.0,13249
wilcox county,ga,16.8,45.1,13315
bibb county,ga,27.3,41.2,13021
meriwether county,ga,26.6,38.3,13199
banks county,ga,15.9,49.2,13011
lowndes county,ga,28.7,28.7,13185
terrell county,ga,30.7,50.7,13273
stewart county,ga,21,46.5,13259
twiggs county,ga,16.4,53.4,13289
newton county,ga,20.3,50.4,13217
jenkins county,ga,24.7,39.7,13165
murray county,ga,18.4,50.5,13213
lumpkin county,ga,13.5,68.5,13187
bartow county,ga,18.7,50.3,13015
marion county,ga,19.9,50.1,13197
polk county,ga,18.3,54.3,13233
oglethorpe county,ga,28.5,45.9,13221
thomas county,ga,26.9,51.4,13275
bryan county,ga,35.9,34.2,13029
chattooga county,ga,17.8,56.6,13055
decatur county,ga,40.4,28.4,13087
chattahoochee county,ga,95,0.9,13053
lee county,ga,22,50.8,13177
jeff davis county,ga,13.1,48.6,13161
union county,ga,18.3,81.4,13291
peach county,ga,17.6,63.4,13225
catoosa county,ga,21.8,46.6,13047
muscogee county,ga,35,29.0,13215
clay county,ga,42.7,31.5,13061
irwin county,ga,15.8,45.8,13155
clinch county,ga,32.5,19.7,13065
carroll county,ga,25.1,36.9,13045
wayne county,ga,32.9,29.1,13305
fulton county,ga,33.1,50.2,13121
echols county,ga,17.2,33.5,13101
chatham county,ga,46.3,33.2,13051
calhoun county,ga,24.9,55.7,13037
berrien county,ga,19.8,33.7,13019
effingham county,ga,24.2,38.9,13103
mcduffie county,ga,21.4,45.6,13189
houston county,ga,38.5,27.5,13153
morgan county,ga,25.4,52.5,13211
hancock county,ga,17.1,86.9,13141
dawson county,ga,15.2,67.7,13085
long county,ga,8.7,43.9,13183
stephens county,ga,16.8,71.2,13257
pike county,ga,16.6,57.2,13231
brantley county,ga,14.3,34.9,13025
warren county,ga,20.2,59.8,13301
toombs county,ga,23.3,42.7,13279
camden county,ga,46.5,20.9,13039
early county,ga,23.7,48.5,13099
butts county,ga,16.1,54.4,13035
screven county,ga,37.9,37.0,13251
turner county,ga,24.4,40.1,13287
dekalb county,ga,35.8,44.7,13089
taliaferro county,ga,25,68.5,13265
cobb county,ga,42.3,38.4,13067
hall county,ga,32.1,34.1,13139
floyd county,ga,21,54.9,13115
habersham county,ga,22,48.2,13137
rabun county,ga,29.2,49.5,13241
glascock county,ga,16.4,48.1,13125
richmond county,ga,37,28.1,13245
rockdale county,ga,21.8,63.3,13247
