County,State_Abrev,Fully_Vaccinated,Boosters,FIPS_Code
claiborne county,ms,50.8,26.5,28021
attala county,ms,50.2,22.6,28007
rankin county,ms,48.7,25.9,28121
yalobusha county,ms,62.1,25.7,28161
desoto county,ms,49.9,22.3,28033
sunflower county,ms,49.6,23.7,28133
amite county,ms,37.4,25.2,28005
lamar county,ms,55.8,25.3,28073
jefferson county,ms,65,27.2,28063
leflore county,ms,57.9,24.2,28083
george county,ms,38.1,18.7,28039
holmes county,ms,54.3,25.6,28051
tallahatchie county,ms,39.1,22.3,28135
choctaw county,ms,34,22.6,28019
smith county,ms,31.9,23.0,28129
adams county,ms,50.6,26.6,28001
grenada county,ms,49.3,23.9,28043
simpson county,ms,42.1,25.4,28127
winston county,ms,45.3,24.6,28159
kemper county,ms,41.6,24.6,28069
union county,ms,37.3,25.9,28145
pearl river county,ms,44.6,23.1,28109
madison county,ms,60.1,29.3,28089
wilkinson county,ms,61,27.7,28157
copiah county,ms,50.2,24.5,28029
greene county,ms,35.3,15.7,28041
lincoln county,ms,36.3,22.4,28085
clay county,ms,43.1,23.5,28025
hinds county,ms,54.1,27.8,28049
lauderdale county,ms,47.7,22.1,28075
scott county,ms,46.9,24.3,28123
marshall county,ms,50.1,22.1,28093
alcorn county,ms,36.5,30.8,28003
chickasaw county,ms,45.5,22.9,28017
wayne county,ms,36.4,21.6,28153
newton county,ms,49.7,23.4,28101
perry county,ms,35,22.3,28111
lawrence county,ms,51.8,27.0,28077
jefferson davis county,ms,41.5,25.0,28065
jackson county,ms,43.6,23.3,28059
franklin county,ms,44.9,25.0,28037
yazoo county,ms,45.9,22.4,28163
tishomingo county,ms,36.7,28.9,28141
walthall county,ms,38.4,25.3,28147
jones county,ms,40.3,23.4,28067
sharkey county,ms,51.3,20.6,28125
warren county,ms,54.2,26.7,28149
benton county,ms,47.9,24.6,28009
monroe county,ms,47.7,26.1,28095
washington county,ms,46.5,22.9,28151
clarke county,ms,54.1,19.8,28023
hancock county,ms,39.2,24.6,28045
harrison county,ms,51.3,20.8,28047
prentiss county,ms,40.4,25.1,28117
carroll county,ms,38.6,22.8,28015
quitman county,ms,49.5,22.6,28119
itawamba county,ms,32.9,26.1,28057
tunica county,ms,47.3,23.0,28143
calhoun county,ms,41.4,21.1,28013
oktibbeha county,ms,48.8,25.6,28105
tate county,ms,41.9,23.0,28137
covington county,ms,47.3,23.3,28031
issaquena county,ms,34.6,21.1,28055
pontotoc county,ms,39.3,26.3,28115
stone county,ms,43,25.6,28131
lee county,ms,41,27.2,28081
marion county,ms,43.1,24.4,28091
lowndes county,ms,48.1,25.4,28087
lewis and clark county,mt,56.9,44.9,30049
jefferson county,mt,47.6,44.9,30043
flathead county,mt,40.2,40.7,30029
powder river county,mt,21.5,34.9,30075
fergus county,mt,45.2,44.5,30027
teton county,mt,40.2,41.6,30099
daniels county,mt,40.5,44.0,30019
ravalli county,mt,46.9,46.3,30081
hill county,mt,65.7,31.8,30041
big horn county,mt,82.9,26.4,30003
stillwater county,mt,40.6,43.6,30095
golden valley county,mt,44,36.6,30037
lake county,mt,54.2,42.4,30047
custer county,mt,42.1,40.4,30017
valley county,mt,44.3,45.0,30105
wibaux county,mt,27,30.2,30109
granite county,mt,35.5,39.4,30039
silver bow county,mt,59.6,44.2,30093
sheridan county,mt,46.9,52.2,30091
phillips county,mt,42.4,45.9,30071
deer lodge county,mt,55.9,50.5,30023
roosevelt county,mt,63.1,31.1,30085
gallatin county,mt,56.7,40.0,30031
musselshell county,mt,33.1,39.1,30065
liberty county,mt,32.9,52.0,30051
mineral county,mt,52.1,42.6,30061
yellowstone county,mt,49.3,39.3,30111
lincoln county,mt,33.9,44.4,30053
beaverhead county,mt,52.3,43.4,30001
mccone county,mt,17.3,58.3,30055
cascade county,mt,51.3,32.2,30013
madison county,mt,43,47.3,30057
glacier county,mt,80.3,26.3,30035
richland county,mt,37.9,36.1,30083
carbon county,mt,45.9,45.0,30009
petroleum county,mt,29.8,52.4,30069
toole county,mt,44.1,25.6,30101
powell county,mt,43.6,34.3,30077
blaine county,mt,79.3,35.5,30005
carter county,mt,29.5,41.2,30011
judith basin county,mt,38.3,43.2,30045
meagher county,mt,48.6,44.0,30059
sweet grass county,mt,39,45.6,30097
chouteau county,mt,31,60.7,30015
broadwater county,mt,31.6,40.2,30007
missoula county,mt,62.3,43.6,30063
garfield county,mt,18.7,34.5,30033
park county,mt,56.4,42.8,30067
wheatland county,mt,34.5,40.8,30107
fallon county,mt,32.4,40.6,30025
dawson county,mt,36.3,39.5,30021
prairie county,mt,36.5,50.4,30079
pondera county,mt,52.2,39.3,30073
treasure county,mt,46.7,40.0,30103
rosebud county,mt,80.5,32.9,30087
sanders county,mt,36.9,41.1,30089
clay county,nc,51.8,20.1,37043
rutherford county,nc,39.9,26.0,37161
cabarrus county,nc,53.1,16.7,37025
perquimans county,nc,45.3,11.1,37143
alexander county,nc,43.1,27.6,37003
wilkes county,nc,44.8,18.1,37193
wake county,nc,69,19.3,37183
beaufort county,nc,52.4,26.3,37013
greene county,nc,47.8,12.5,37079
yadkin county,nc,47.1,19.2,37197
stokes county,nc,44.2,16.5,37169
nash county,nc,55.1,20.9,37127
henderson county,nc,55.7,30.0,37089
graham county,nc,47.5,22.3,37075
montgomery county,nc,40.4,18.7,37123
durham county,nc,67.1,23.5,37063
lenoir county,nc,51.4,20.9,37107
alleghany county,nc,56.4,23.7,37005
chowan county,nc,52.8,25.3,37041
lee county,nc,53.4,17.8,37105
transylvania county,nc,52.9,27.6,37175
davidson county,nc,45.2,22.4,37057
martin county,nc,50,19.5,37117
caldwell county,nc,45.1,25.5,37027
vance county,nc,53.1,15.4,37181
jackson county,nc,52.2,22.4,37099
bladen county,nc,46.6,11.6,37017
moore county,nc,54.6,23.0,37125
mecklenburg county,nc,59.4,17.7,37119
person county,nc,53.4,21.8,37145
macon county,nc,56.8,29.9,37113
bertie county,nc,48.6,20.2,37015
stanly county,nc,39.9,13.9,37167
gates county,nc,49.2,26.3,37073
guilford county,nc,58,14.8,37081
duplin county,nc,40,18.7,37061
watauga county,nc,52.9,24.8,37189
harnett county,nc,37,17.5,37085
robeson county,nc,39.6,19.9,37155
yancey county,nc,49.3,36.9,37199
forsyth county,nc,58.7,17.7,37067
granville county,nc,58.7,20.7,37077
rockingham county,nc,47.7,19.3,37157
edgecombe county,nc,45.3,23.1,37065
chatham county,nc,55.5,19.1,37037
sampson county,nc,48.3,18.8,37163
surry county,nc,49.6,22.8,37171
burke county,nc,44.6,21.1,37023
pender county,nc,48.6,18.6,37141
washington county,nc,47.2,28.1,37187
pitt county,nc,50.9,15.6,37147
brunswick county,nc,59.2,23.9,37019
polk county,nc,42.6,20.5,37149
gaston county,nc,47.9,18.0,37071
new hanover county,nc,60,21.2,37129
camden county,nc,54.8,10.5,37029
cleveland county,nc,47.2,21.0,37045
cherokee county,nc,53.7,27.9,37039
ashe county,nc,50.9,25.6,37009
lincoln county,nc,46.3,17.3,37109
warren county,nc,52.6,17.2,37185
catawba county,nc,52.4,15.9,37035
richmond county,nc,45.4,23.6,37153
jones county,nc,48.3,25.7,37103
buncombe county,nc,63.7,25.9,37021
caswell county,nc,47.8,31.3,37033
iredell county,nc,49.7,17.2,37097
mitchell county,nc,47.6,26.0,37121
currituck county,nc,53.2,20.4,37053
craven county,nc,57.9,20.8,37049
northampton county,nc,45.6,26.9,37131
franklin county,nc,48.5,18.5,37069
anson county,nc,43.6,14.5,37007
tyrrell county,nc,46.9,27.5,37177
hertford county,nc,45,14.2,37091
pamlico county,nc,53.6,27.5,37137
johnston county,nc,49.4,18.6,37101
carteret county,nc,54.8,18.6,37031
hyde county,nc,62,36.2,37095
swain county,nc,53.6,29.5,37173
avery county,nc,51.4,28.0,37011
davie county,nc,54.1,22.6,37059
pasquotank county,nc,51,19.7,37139
dare county,nc,71.9,24.5,37055
wilson county,nc,50.4,24.8,37195
hoke county,nc,31.6,17.7,37093
union county,nc,52.5,16.8,37179
alamance county,nc,55.5,17.6,37001
cumberland county,nc,60.2,9.4,37051
halifax county,nc,50.3,27.6,37083
madison county,nc,54.8,31.1,37115
onslow county,nc,56.4,7.2,37133
wayne county,nc,48.6,15.3,37191
mcdowell county,nc,50.2,21.6,37111
haywood county,nc,54.9,28.2,37087
columbus county,nc,42.3,19.9,37047
rowan county,nc,42.1,18.0,37159
orange county,nc,74.5,23.5,37135
scotland county,nc,44.6,19.9,37165
randolph county,nc,41.8,19.4,37151
oliver county,nd,24.9,38.4,38065
hettinger county,nd,38.1,44.2,38041
mercer county,nd,37.6,41.1,38057
pierce county,nd,44.1,47.2,38069
cass county,nd,58.2,37.6,38017
ward county,nd,45.8,29.7,38101
ransom county,nd,57.2,47.9,38073
stark county,nd,35.1,36.4,38089
divide county,nd,39.7,37.1,38023
adams county,nd,47.3,46.6,38001
morton county,nd,43.6,37.4,38059
foster county,nd,53.5,43.9,38031
grand forks county,nd,55.9,36.7,38035
lamoure county,nd,46.6,49.0,38045
billings county,nd,20.7,29.2,38007
steele county,nd,44.9,44.5,38091
sargent county,nd,56.9,48.5,38081
benson county,nd,49.1,29.3,38005
traill county,nd,52.4,39.2,38097
sheridan county,nd,35.9,53.2,38083
bottineau county,nd,47.2,44.8,38009
pembina county,nd,53.2,36.4,38067
logan county,nd,36.3,43.2,38047
renville county,nd,37.6,37.4,38075
sioux county,nd,45.8,25.4,38085
rolette county,nd,63.6,32.6,38079
mckenzie county,nd,20.8,27.2,38053
burleigh county,nd,48.6,38.1,38015
griggs county,nd,45.4,41.8,38039
mountrail county,nd,39.1,32.8,38061
cavalier county,nd,58.4,51.5,38019
walsh county,nd,56.1,42.6,38099
emmons county,nd,33.3,39.3,38029
grant county,nd,21.8,52.2,38037
mcintosh county,nd,42.4,42.8,38051
nelson county,nd,68.9,55.9,38063
slope county,nd,10.7,38.8,38087
richland county,nd,49.3,42.5,38077
burke county,nd,38,37.4,38013
golden valley county,nd,28.9,31.2,38033
ramsey county,nd,54.2,42.8,38071
wells county,nd,42.3,45.0,38103
barnes county,nd,55.8,42.8,38003
dunn county,nd,23,34.2,38025
towner county,nd,46.2,48.0,38095
dickey county,nd,51,47.0,38021
williams county,nd,28.7,27.1,38105
kidder county,nd,31.8,39.1,38043
stutsman county,nd,51.2,41.6,38093
bowman county,nd,37.8,46.1,38011
mchenry county,nd,40.3,42.4,38049
eddy county,nd,50.3,47.8,38027
mclean county,nd,44.6,41.0,38055
valley county,ne,31.5,61.3,31175
antelope county,ne,35.7,47.0,31003
knox county,ne,47,38.4,31107
johnson county,ne,52.1,35.6,31097
jefferson county,ne,52.5,51.0,31095
harlan county,ne,38.8,49.5,31083
frontier county,ne,26.1,59.1,31063
lincoln county,ne,31.2,52.7,31111
gage county,ne,41.9,56.9,31067
fillmore county,ne,50.5,49.5,31059
sarpy county,ne,61.1,36.1,31153
boyd county,ne,33.2,52.0,31015
dixon county,ne,41.2,42.3,31051
washington county,ne,53.4,47.6,31177
holt county,ne,40.3,51.8,31089
thayer county,ne,45.7,47.1,31169
boone county,ne,47.2,47.7,31011
greeley county,ne,38.6,51.4,31077
dundy county,ne,35,23.4,31057
thurston county,ne,63.7,30.9,31173
hall county,ne,45.6,41.6,31079
perkins county,ne,38.8,42.6,31135
custer county,ne,36.8,42.6,31041
hooker county,ne,41.2,56.2,31091
sioux county,ne,23.6,49.1,31165
chase county,ne,31.4,43.5,31029
buffalo county,ne,39.2,52.4,31019
clay county,ne,39.9,45.6,31035
hamilton county,ne,43.6,51.4,31081
loup county,ne,28.9,63.0,31115
pawnee county,ne,42.2,45.5,31133
furnas county,ne,41.9,44.3,31065
saline county,ne,49.1,43.4,31151
keith county,ne,35.6,51.7,31101
wheeler county,ne,29.9,46.6,31183
dakota county,ne,60.2,25.2,31043
morrill county,ne,33.6,35.5,31123
burt county,ne,55.9,50.7,31021
saunders county,ne,49.7,43.0,31155
seward county,ne,48,48.8,31159
cedar county,ne,39.3,40.0,31027
brown county,ne,34.6,36.8,31017
phelps county,ne,37.3,50.9,31137
york county,ne,50.2,44.6,31185
nance county,ne,27.7,60.4,31125
madison county,ne,43.4,39.8,31119
colfax county,ne,43.9,31.1,31037
thomas county,ne,24.1,52.9,31171
sheridan county,ne,30.3,45.8,31161
cass county,ne,56.6,38.1,31025
dodge county,ne,50.9,50.3,31053
douglas county,ne,62.4,40.8,31055
red willow county,ne,35.5,49.9,31145
box butte county,ne,31.9,49.4,31013
webster county,ne,36.7,53.7,31181
butler county,ne,48.5,46.4,31023
keya paha county,ne,27.4,49.8,31103
nuckolls county,ne,47.7,47.8,31129
mcpherson county,ne,13.8,50.0,31117
otoe county,ne,53.4,49.2,31131
arthur county,ne,18.1,60.7,31005
dawes county,ne,36.6,48.2,31045
garden county,ne,43.9,39.0,31069
garfield county,ne,28.3,72.4,31071
adams county,ne,39.9,54.1,31001
sherman county,ne,38,54.9,31163
merrick county,ne,41.3,48.1,31121
gosper county,ne,37.8,53.6,31073
wayne county,ne,39.6,46.1,31179
cherry county,ne,32.7,31.9,31031
grant county,ne,19.3,53.3,31075
blaine county,ne,24.5,52.6,31009
scotts bluff county,ne,39.1,44.3,31157
polk county,ne,39.7,53.6,31143
kearney county,ne,45.1,49.4,31099
franklin county,ne,37.1,51.5,31061
lancaster county,ne,63.6,45.9,31109
pierce county,ne,36,38.8,31139
logan county,ne,21.4,35.0,31113
hayes county,ne,23.1,47.9,31085
rock county,ne,35,61.5,31149
banner county,ne,30.1,41.5,31007
deuel county,ne,32.7,42.7,31049
nemaha county,ne,47.8,45.7,31127
howard county,ne,40.7,46.0,31093
richardson county,ne,49,41.9,31147
hitchcock county,ne,32.1,38.9,31087
platte county,ne,44.2,45.1,31141
cheyenne county,ne,41,39.1,31033
dawson county,ne,45.5,35.1,31047
cuming county,ne,50.5,53.6,31039
kimball county,ne,33.8,39.2,31105
stanton county,ne,27.1,48.3,31167
coos county,nh,64.4,30.7,33007
belknap county,nh,59.5,12.8,33001
rockingham county,nh,64.7,10.7,33015
grafton county,nh,72.4,21.3,33009
merrimack county,nh,66.2,13.9,33013
hillsborough county,nh,61,10.1,33011
carroll county,nh,70,30.5,33003
cheshire county,nh,59.9,10.3,33005
strafford county,nh,60.8,15.0,33017
sullivan county,nh,60.7,21.9,33019
atlantic county,nj,62.1,34.3,34001
middlesex county,nj,68.5,35.1,34023
somerset county,nj,71.6,40.8,34035
essex county,nj,66.6,33.0,34013
mercer county,nj,66.1,38.0,34021
cumberland county,nj,47.6,35.7,34011
morris county,nj,74.1,40.5,34027
bergen county,nj,72.8,35.6,34003
cape may county,nj,70.3,38.7,34009
warren county,nj,64.4,35.0,34041
salem county,nj,51.5,35.3,34033
gloucester county,nj,58.6,42.4,34015
hudson county,nj,71.7,28.5,34017
monmouth county,nj,64.2,39.4,34025
sussex county,nj,59.6,38.7,34037
ocean county,nj,51.5,38.9,34029
passaic county,nj,64.8,27.6,34031
hunterdon county,nj,67.1,40.8,34019
camden county,nj,64,39.3,34007
burlington county,nj,70.7,38.8,34005
union county,nj,66.2,32.4,34039
mckinley county,nm,79.5,31.3,35031
union county,nm,42.7,28.8,35059
catron county,nm,44.3,40.4,35003
hidalgo county,nm,55.9,40.0,35023
rio arriba county,nm,74.3,38.3,35039
guadalupe county,nm,66.5,45.3,35019
sierra county,nm,63.4,48.3,35051
sandoval county,nm,68,40.8,35043
los alamos county,nm,81.7,52.2,35028
santa fe county,nm,77,47.0,35049
colfax county,nm,59.3,48.6,35007
mora county,nm,62,48.4,35033
torrance county,nm,45.6,40.5,35057
cibola county,nm,65.7,33.2,35006
taos county,nm,79.2,45.3,35055
eddy county,nm,44,32.0,35015
chaves county,nm,42.1,33.0,35005
harding county,nm,56.8,51.8,35021
lea county,nm,41.1,28.0,35025
lincoln county,nm,56.3,45.0,35027
valencia county,nm,55.7,38.4,35061
luna county,nm,68.5,35.9,35029
dona ana county,nm,70.4,34.4,35013
roosevelt county,nm,35.7,34.5,35041
san miguel county,nm,64.1,47.8,35047
quay county,nm,46.8,35.2,35037
bernalillo county,nm,66.2,41.7,35001
san juan county,nm,68.9,39.5,35045
socorro county,nm,64.3,42.5,35053
otero county,nm,55.9,29.9,35035
de baca county,nm,48.5,29.3,35011
curry county,nm,47,24.5,35009
grant county,nm,66,50.1,35017
lincoln county,nv,36.8,33.0,32017
mineral county,nv,54.3,34.0,32021
white pine county,nv,49.9,25.9,32033
clark county,nv,53.3,29.0,32003
lander county,nv,38.1,31.1,32015
lyon county,nv,39.4,24.3,32019
nye county,nv,44.2,35.3,32023
elko county,nv,39.6,25.8,32007
churchill county,nv,46.3,30.8,32001
eureka county,nv,25.8,26.6,32011
washoe county,nv,61.1,32.3,32031
pershing county,nv,34.5,22.2,32027
storey county,nv,19.4,33.6,32029
douglas county,nv,49.3,32.9,32005
esmeralda county,nv,39.6,21.7,32009
humboldt county,nv,39.2,26.0,32013
carson city,nv,60.9,32.4,32510
schenectady county,ny,69.4,45.3,36093
albany county,ny,71.5,46.1,36001
tompkins county,ny,76.6,41.5,36109
essex county,ny,69,44.2,36031
chemung county,ny,57,40.2,36015
steuben county,ny,57,36.7,36101
broome county,ny,60.9,43.7,36007
ontario county,ny,65.6,45.7,36069
oneida county,ny,59.5,43.5,36065
niagara county,ny,63.7,42.0,36063
monroe county,ny,69,45.6,36055
oswego county,ny,56.9,40.9,36075
columbia county,ny,71.3,40.1,36021
clinton county,ny,68.9,40.7,36019
bronx county,ny,67.5,21.5,36005
schoharie county,ny,54.8,41.2,36095
rockland county,ny,60.1,28.8,36087
orange county,ny,62.7,29.4,36071
yates county,ny,50.7,48.2,36123
wyoming county,ny,49.2,42.5,36121
suffolk county,ny,71.4,32.1,36103
westchester county,ny,75.8,33.4,36119
cattaraugus county,ny,53.4,40.8,36009
warren county,ny,74.2,49.4,36113
queens county,ny,80.1,25.5,36081
sullivan county,ny,57.3,33.8,36105
orleans county,ny,52.8,35.5,36073
cayuga county,ny,56.6,40.4,36011
franklin county,ny,62.3,41.1,36033
wayne county,ny,59.7,43.5,36117
putnam county,ny,69.6,36.5,36079
ulster county,ny,69.2,43.2,36111
rensselaer county,ny,67.3,43.0,36083
new york county,ny,80.7,35.0,36061
washington county,ny,63.3,42.2,36115
erie county,ny,66.5,44.6,36029
chautauqua county,ny,56.2,41.1,36013
cortland county,ny,56.9,40.3,36023
saratoga county,ny,76.2,46.6,36091
livingston county,ny,57.2,43.8,36051
seneca county,ny,51.5,42.2,36099
dutchess county,ny,66.3,36.7,36027
delaware county,ny,54.9,38.9,36025
jefferson county,ny,67.2,31.8,36045
genesee county,ny,57.4,39.1,36037
greene county,ny,59.9,42.0,36039
fulton county,ny,51.6,39.5,36035
madison county,ny,58.7,42.0,36053
nassau county,ny,76.5,30.7,36059
st. lawrence county,ny,58.4,43.0,36089
richmond county,ny,68.6,28.2,36085
allegany county,ny,41.9,39.7,36003
schuyler county,ny,59.9,42.5,36097
montgomery county,ny,63.4,40.1,36057
herkimer county,ny,56.2,40.8,36043
hamilton county,ny,81.6,46.5,36041
kings county,ny,66.2,26.6,36047
chenango county,ny,58.2,41.4,36017
onondaga county,ny,70.5,43.4,36067
otsego county,ny,59.1,45.6,36077
lewis county,ny,49.6,44.2,36049
tioga county,ny,57.6,37.4,36107
hancock county,oh,48.6,42.4,39063
lawrence county,oh,46.8,27.9,39087
guernsey county,oh,42.6,40.8,39059
meigs county,oh,44.6,34.2,39105
muskingum county,oh,46.3,42.6,39119
putnam county,oh,46.7,41.5,39137
montgomery county,oh,53.5,40.0,39113
trumbull county,oh,52.5,42.6,39155
highland county,oh,36.1,37.6,39071
clermont county,oh,54.2,37.6,39025
greene county,oh,62.8,35.1,39057
cuyahoga county,oh,61.3,43.6,39035
geauga county,oh,58.9,48.5,39055
athens county,oh,49.7,42.5,39009
logan county,oh,40.7,39.2,39091
summit county,oh,60.1,42.8,39153
carroll county,oh,41.9,47.4,39019
knox county,oh,41.3,42.0,39083
pike county,oh,42,35.4,39131
lake county,oh,62.5,43.3,39085
vinton county,oh,37.8,38.3,39163
gallia county,oh,44.5,37.1,39053
harrison county,oh,41.3,42.2,39067
brown county,oh,38.8,36.5,39015
coshocton county,oh,37.1,43.3,39031
clinton county,oh,44.7,39.2,39027
morgan county,oh,40.3,46.1,39115
ashtabula county,oh,49.8,42.9,39007
wood county,oh,59.3,44.1,39173
warren county,oh,61.1,41.1,39165
noble county,oh,41.5,40.6,39121
wayne county,oh,43.4,42.8,39169
marion county,oh,45.9,41.1,39101
mercer county,oh,36.7,41.3,39107
paulding county,oh,40.5,40.9,39125
lucas county,oh,55.1,41.5,39095
auglaize county,oh,37.8,40.5,39011
defiance county,oh,47,43.6,39039
seneca county,oh,46.5,40.9,39147
stark county,oh,51.8,43.1,39151
morrow county,oh,39.7,40.5,39117
wyandot county,oh,45.6,45.9,39175
huron county,oh,45.5,41.8,39077
ottawa county,oh,58.9,49.7,39123
clark county,oh,49.2,39.9,39023
crawford county,oh,43.1,39.6,39033
union county,oh,59.2,41.2,39159
preble county,oh,41,37.6,39135
tuscarawas county,oh,42.3,41.8,39157
hocking county,oh,46.1,42.4,39073
allen county,oh,41.2,41.1,39003
lorain county,oh,60.2,43.7,39093
butler county,oh,53.7,36.5,39017
belmont county,oh,46.3,36.4,39013
jefferson county,oh,48.3,37.0,39081
van wert county,oh,41.2,43.3,39161
sandusky county,oh,50.5,44.3,39143
monroe county,oh,44.6,36.3,39111
henry county,oh,51.7,46.5,39069
jackson county,oh,44.8,38.1,39079
miami county,oh,45.3,39.3,39109
hamilton county,oh,59.6,40.1,39061
ross county,oh,48.3,39.6,39141
shelby county,oh,34.4,40.2,39149
richland county,oh,41.9,40.6,39139
champaign county,oh,43.5,37.6,39021
fulton county,oh,50.5,41.9,39051
columbiana county,oh,46.8,41.6,39029
fayette county,oh,41.4,40.0,39047
ashland county,oh,41.4,38.9,39005
darke county,oh,37.4,41.0,39037
washington county,oh,53.3,39.2,39167
fairfield county,oh,54.4,39.9,39045
mahoning county,oh,54.1,42.2,39099
holmes county,oh,17.5,43.5,39075
medina county,oh,61.2,44.8,39103
madison county,oh,48.5,39.7,39097
portage county,oh,54.6,42.5,39133
pickaway county,oh,48.3,39.2,39129
scioto county,oh,47.2,32.1,39145
perry county,oh,38.9,41.6,39127
williams county,oh,42.7,42.6,39171
hardin county,oh,36.5,35.7,39065
franklin county,oh,60.9,40.0,39049
licking county,oh,52.2,40.0,39089
adams county,oh,33.3,33.8,39001
delaware county,oh,71.5,44.5,39041
erie county,oh,56.7,47.8,39043
seminole county,ok,49.6,28.8,40133
okfuskee county,ok,44.7,33.6,40107
marshall county,ok,42.6,31.2,40095
ottawa county,ok,37,30.2,40115
pottawatomie county,ok,45.7,28.6,40125
mcclain county,ok,45.9,30.6,40087
sequoyah county,ok,37.6,30.5,40135
coal county,ok,38.2,32.0,40029
mcintosh county,ok,52.3,36.1,40091
roger mills county,ok,34.6,36.0,40129
pawnee county,ok,47.2,33.9,40117
grady county,ok,35.8,30.5,40051
love county,ok,40.1,31.1,40085
muskogee county,ok,48.5,27.7,40101
kingfisher county,ok,45.5,31.4,40073
dewey county,ok,24.5,37.3,40043
hughes county,ok,43.6,29.2,40063
comanche county,ok,58.5,20.5,40031
haskell county,ok,39.2,32.4,40061
cleveland county,ok,51.3,33.9,40027
cotton county,ok,47.4,31.0,40033
creek county,ok,41.4,32.3,40037
garfield county,ok,47.6,27.8,40047
noble county,ok,59.1,37.1,40103
harmon county,ok,46.7,37.4,40057
payne county,ok,46.6,35.0,40119
osage county,ok,33.2,29.0,40113
le flore county,ok,37,30.3,40079
mayes county,ok,41,30.3,40097
alfalfa county,ok,43.7,42.4,40003
woods county,ok,39.7,40.4,40151
oklahoma county,ok,61.1,29.3,40109
grant county,ok,41,30.1,40053
atoka county,ok,33.8,30.7,40005
stephens county,ok,45,33.0,40137
woodward county,ok,36.4,34.0,40153
beaver county,ok,29.6,28.0,40007
cimarron county,ok,30.4,22.2,40025
ellis county,ok,33.6,34.6,40045
tillman county,ok,47,32.9,40141
cherokee county,ok,44.7,33.1,40021
washington county,ok,41.3,32.0,40147
murray county,ok,43.1,36.2,40099
latimer county,ok,32.6,33.5,40077
major county,ok,47.5,36.7,40093
jefferson county,ok,39.6,33.9,40067
garvin county,ok,44.5,32.6,40049
pontotoc county,ok,49,31.9,40123
pushmataha county,ok,34,31.9,40127
caddo county,ok,60,32.0,40015
canadian county,ok,54.7,29.1,40017
custer county,ok,46.1,31.5,40039
blaine county,ok,44.5,31.4,40011
kay county,ok,40.3,35.6,40071
logan county,ok,32.4,33.1,40083
texas county,ok,41.6,25.4,40139
beckham county,ok,39.3,30.7,40009
bryan county,ok,40,26.9,40013
rogers county,ok,44.2,29.9,40131
jackson county,ok,51.5,25.7,40065
delaware county,ok,36.5,32.2,40041
lincoln county,ok,38,30.8,40081
carter county,ok,41.7,30.8,40019
pittsburg county,ok,43.5,32.5,40121
craig county,ok,50.7,33.7,40035
adair county,ok,33,24.5,40001
kiowa county,ok,49.2,37.9,40075
harper county,ok,42.7,31.4,40059
greer county,ok,35,35.2,40055
nowata county,ok,40.8,24.9,40105
johnston county,ok,39.9,30.9,40069
choctaw county,ok,33.5,28.5,40023
tulsa county,ok,58.3,31.0,40143
mccurtain county,ok,33.9,25.9,40089
washita county,ok,37.4,32.5,40149
okmulgee county,ok,40.9,32.0,40111
wagoner county,ok,44.7,31.1,40145
klamath county,or,48.7,34.9,41035
multnomah county,or,75.9,41.4,41051
marion county,or,59.8,34.6,41047
wheeler county,or,53.5,52.3,41069
yamhill county,or,60.5,37.4,41071
lane county,or,65.2,39.0,41039
deschutes county,or,66.2,45.3,41017
josephine county,or,48.6,40.9,41033
wasco county,or,62.8,38.3,41065
jackson county,or,55.9,39.5,41029
jefferson county,or,59.7,37.4,41031
morrow county,or,52.1,27.1,41049
clatsop county,or,63.3,41.3,41007
coos county,or,55.2,40.4,41011
tillamook county,or,62.3,44.6,41057
wallowa county,or,57.3,47.8,41063
clackamas county,or,65.8,41.9,41005
hood river county,or,80.9,41.9,41027
gilliam county,or,43.5,47.4,41021
grant county,or,44.1,41.1,41023
curry county,or,53.4,41.1,41015
columbia county,or,57.8,31.2,41009
baker county,or,68.7,29.9,41001
lake county,or,38.4,38.7,41037
linn county,or,53.2,36.2,41043
lincoln county,or,68.1,48.6,41041
polk county,or,60.7,39.2,41053
crook county,or,48.6,43.8,41013
sherman county,or,56.2,39.3,41055
umatilla county,or,52.8,26.7,41059
douglas county,or,50.8,32.3,41019
malheur county,or,45.1,28.3,41045
benton county,or,72.1,46.0,41003
harney county,or,44.5,42.3,41025
union county,or,47.3,38.5,41061
washington county,or,72.7,39.4,41067
montgomery county,pa,71.7,30.2,42091
somerset county,pa,45.8,36.8,42111
franklin county,pa,46.2,35.5,42055
jefferson county,pa,46.2,39.3,42065
lancaster county,pa,55.6,33.8,42071
berks county,pa,56.1,30.0,42011
clarion county,pa,41.9,37.2,42031
fulton county,pa,33.9,34.9,42057
lawrence county,pa,51.2,34.9,42073
schuylkill county,pa,57,33.6,42107
allegheny county,pa,66.3,38.0,42003
mckean county,pa,46.2,30.5,42083
lackawanna county,pa,66.4,40.3,42069
cumberland county,pa,64.7,29.9,42041
tioga county,pa,43.3,37.0,42117
lycoming county,pa,49.2,40.0,42081
philadelphia county,pa,62.7,22.1,42101
huntingdon county,pa,48.5,32.3,42061
juniata county,pa,38.2,38.0,42067
clinton county,pa,42,40.3,42035
greene county,pa,47.8,33.0,42059
bradford county,pa,40.5,33.9,42015
potter county,pa,34.8,36.5,42105
warren county,pa,46.6,39.2,42123
perry county,pa,45.5,31.5,42099
clearfield county,pa,47.5,33.5,42033
crawford county,pa,46.7,39.7,42039
